moosh,out,n
so_that_i,could,82
thanks_for_stopping,by,82
that_some_of,the,82
that_you_have,to,82
the_inside_of,the,82
the_last_of,the,82
time_of_the,year,82
what_i_wanted,to,82
will_continue_to,be,82
would_love_to,see,82
you_are_not,going,82
a_third_of,the,81
along_the_lines,of,81
and_you_have,to,81
as_well_as,some,81
be_able_to,make,81
did_not_know,how,81
during_world_war,ii,81
for_a_little,while,81
for_those_of,us,81
good_news_is,that,81
i_like_to,think,81
i_need_to,be,81
i_need_to,get,81
i_think_it,would,81
in_the_first,three,81
in_the_s,the,81
it_out_of,the,81
it_was_a,little,81
no_choice_but,to,81
not_a_fan,of,81
president_and_chief,executive,81
she_and_her,husband,81
so_i_did,not,81
some_of_the,other,81
that_most_of,the,81
that_there_was,no,81
the_top_of,my,81
the_us_supreme,court,81
when_i_went,to,81
you_may_want,to,81
all_the_time,and,80
and_i_think,i,80
at_one_of,the,80
but_i_think,i,80
but_you_have,to,80
did_not_seem,to,80
do_not_even,know,80
do_not_like,the,80
earlier_in_the,day,80
he_said_i,am,80
i_will_never,forget,80
in_some_of,the,80
in_the_th,minute,80
in_time_for,the,80
martin_luther_king,jr,80
no_matter_how,much,80
of_the_st,louis,80
on_the_same,day,80
that_i_have,to,80
that_i_would,be,80
that_would_have,been,80
the_former_massachusetts,governor,80
the_other_end,of,80
the_use_of,the,80
the_value_of,the,80
to_a_lot,of,80
want_it_to,be,80
will_be_on,the,80
would_not_want,to,80
you_do_not,get,80
you_need_to,know,80
at_the_back,of,79
at_the_right,time,79
can_be_found,in,79
i_dont_know,why,79
it_was_in,the,79
keep_an_eye,on,79
like_a_lot,of,79
on_his_way,to,79
on_the_way,home,79
out_of_the,car,79
she_was_going,to,79
that_part_of,the,79
the_best_part,of,79
think_of_it,as,79
this_has_been,a,79
thought_i_would,share,79
was_not_able,to,79
we_have_had,a,79
and_roll_hall,of,78
as_it_turns,out,78
back_in_the,day,78
but_he_does,not,78
but_i_have,a,78
but_they_do,not,78
do_the_right,thing,78
feel_the_need,to,78
hard_for_me,to,78
have_to_deal,with,78
he_was_in,the,78
i_fell_in,love,78
in_a_number,of,78
in_the_course,of,78
in_the_number,of,78
is_made_up,of,78
it_comes_down,to,78
it_i_do,not,78
on_the_first,day,78
rock_and_roll,hall,78
th_anniversary_of,the,78
that_i_could,not,78
the_back_of,a,78
to_be_the,first,78
to_pick_up,a,78
was_part_of,a,78
we_are_in,a,78
we_will_continue,to,78
will_have_to,wait,78
with_a_group,of,78
you_can_get,a,78
you_will_want,to,78
a_lot_of,it,77
am_going_to,try,77
an_important_part,of,77
and_they_do,not,77
and_you_will,be,77
are_one_of,the,77
be_a_lot,of,77
come_out_of,the,77
do_not_know,about,77
for_a_number,of,77
for_all_of,the,77
for_the_time,being,77
